varnumber,varname,codevalue,valuelabel,frequency,percent
10016,STABBR,AL,Alabama,95,1.26
10016,STABBR,AK,Alaska,10,0.13
10016,STABBR,AZ,Arizona,137,1.82
10016,STABBR,AR,Arkansas,92,1.22
10016,STABBR,CA,California,754,10.03
10016,STABBR,CO,Colorado,130,1.73
10016,STABBR,CT,Connecticut,92,1.22
10016,STABBR,DE,Delaware,20,0.27
10016,STABBR,DC,District of Columbia,24,0.32
10016,STABBR,FL,Florida,419,5.57
10016,STABBR,GA,Georgia,178,2.37
10016,STABBR,HI,Hawaii,26,0.35
10016,STABBR,ID,Idaho,43,0.57
10016,STABBR,IL,Illinois,310,4.12
10016,STABBR,IN,Indiana,140,1.86
10016,STABBR,IA,Iowa,91,1.21
10016,STABBR,KS,Kansas,91,1.21
10016,STABBR,KY,Kentucky,114,1.52
10016,STABBR,LA,Louisiana,134,1.78
10016,STABBR,ME,Maine,39,0.52
10016,STABBR,MD,Maryland,96,1.28
10016,STABBR,MA,Massachusetts,191,2.54
10016,STABBR,MI,Michigan,188,2.5
10016,STABBR,MN,Minnesota,140,1.86
10016,STABBR,MS,Mississippi,63,0.84
10016,STABBR,MO,Missouri,205,2.73
10016,STABBR,MT,Montana,32,0.43
10016,STABBR,NE,Nebraska,53,0.7
10016,STABBR,NV,Nevada,46,0.61
10016,STABBR,NH,New Hampshire,42,0.56
10016,STABBR,NJ,New Jersey,164,2.18
10016,STABBR,NM,New Mexico,51,0.68
10016,STABBR,NY,New York,478,6.36
10016,STABBR,NC,North Carolina,195,2.59
10016,STABBR,ND,North Dakota,29,0.39
10016,STABBR,OH,Ohio,359,4.77
10016,STABBR,OK,Oklahoma,148,1.97
10016,STABBR,OR,Oregon,96,1.28
10016,STABBR,PA,Pennsylvania,395,5.25
10016,STABBR,RI,Rhode Island,24,0.32
10016,STABBR,SC,South Carolina,115,1.53
10016,STABBR,SD,South Dakota,31,0.41
10016,STABBR,TN,Tennessee,192,2.55
10016,STABBR,TX,Texas,471,6.26
10016,STABBR,UT,Utah,79,1.05
10016,STABBR,VT,Vermont,26,0.35
10016,STABBR,VA,Virginia,173,2.3
10016,STABBR,WA,Washington,129,1.72
10016,STABBR,WV,West Virginia,77,1.02
10016,STABBR,WI,Wisconsin,119,1.58
10016,STABBR,WY,Wyoming,11,0.15
10016,STABBR,AS,American Samoa,1,0.01
10016,STABBR,FM,Federated States of Micronesia,1,0.01
10016,STABBR,GU,Guam,3,0.04
10016,STABBR,MH,Marshall Islands,1,0.01
10016,STABBR,MP,Northern Marianas,1,0.01
10016,STABBR,PW,Palau,1,0.01
10016,STABBR,PR,Puerto Rico,155,2.06
10016,STABBR,VI,Virgin Islands,1,0.01
10026,FIPS,1,Alabama,95,1.26
10026,FIPS,2,Alaska,10,0.13
10026,FIPS,4,Arizona,137,1.82
10026,FIPS,5,Arkansas,92,1.22
10026,FIPS,6,California,754,10.03
10026,FIPS,8,Colorado,130,1.73
10026,FIPS,9,Connecticut,92,1.22
10026,FIPS,10,Delaware,20,0.27
10026,FIPS,11,District of Columbia,24,0.32
10026,FIPS,12,Florida,419,5.57
10026,FIPS,13,Georgia,178,2.37
10026,FIPS,15,Hawaii,26,0.35
10026,FIPS,16,Idaho,43,0.57
10026,FIPS,17,Illinois,310,4.12
10026,FIPS,18,Indiana,140,1.86
10026,FIPS,19,Iowa,91,1.21
10026,FIPS,20,Kansas,91,1.21
10026,FIPS,21,Kentucky,114,1.52
10026,FIPS,22,Louisiana,134,1.78
10026,FIPS,23,Maine,39,0.52
10026,FIPS,24,Maryland,96,1.28
10026,FIPS,25,Massachusetts,191,2.54
10026,FIPS,26,Michigan,188,2.5
10026,FIPS,27,Minnesota,140,1.86
10026,FIPS,28,Mississippi,63,0.84
10026,FIPS,29,Missouri,205,2.73
10026,FIPS,30,Montana,32,0.43
10026,FIPS,31,Nebraska,53,0.7
10026,FIPS,32,Nevada,46,0.61
10026,FIPS,33,New Hampshire,42,0.56
10026,FIPS,34,New Jersey,164,2.18
10026,FIPS,35,New Mexico,51,0.68
10026,FIPS,36,New York,478,6.36
10026,FIPS,37,North Carolina,195,2.59
10026,FIPS,38,North Dakota,29,0.39
10026,FIPS,39,Ohio,359,4.77
10026,FIPS,40,Oklahoma,148,1.97
10026,FIPS,41,Oregon,96,1.28
10026,FIPS,42,Pennsylvania,395,5.25
10026,FIPS,44,Rhode Island,24,0.32
10026,FIPS,45,South Carolina,115,1.53
10026,FIPS,46,South Dakota,31,0.41
10026,FIPS,47,Tennessee,192,2.55
10026,FIPS,48,Texas,471,6.26
10026,FIPS,49,Utah,79,1.05
10026,FIPS,50,Vermont,26,0.35
10026,FIPS,51,Virginia,173,2.3
10026,FIPS,53,Washington,129,1.72
10026,FIPS,54,West Virginia,77,1.02
10026,FIPS,55,Wisconsin,119,1.58
10026,FIPS,56,Wyoming,11,0.15
10026,FIPS,60,American Samoa,1,0.01
10026,FIPS,64,Federated States of Micronesia,1,0.01
10026,FIPS,66,Guam,3,0.04
10026,FIPS,68,Marshall Islands,1,0.01
10026,FIPS,69,Northern Marianas,1,0.01
10026,FIPS,70,Palau,1,0.01
10026,FIPS,72,Puerto Rico,155,2.06
10026,FIPS,78,Virgin Islands,1,0.01
10031,OBEREG,0,US Service schools,7,0.09
10031,OBEREG,1,New England CT ME MA NH RI VT,413,5.49
10031,OBEREG,2,Mid East DE DC MD NJ NY PA,1174,15.61
10031,OBEREG,3,Great Lakes IL IN MI OH WI,1115,14.83
10031,OBEREG,4,Plains IA KS MN MO NE ND SD,640,8.51
10031,OBEREG,5,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,1847,24.56
10031,OBEREG,6,Southwest AZ NM OK TX,807,10.73
10031,OBEREG,7,Rocky Mountains CO ID MT UT WY,294,3.91
10031,OBEREG,8,Far West AK CA HI NV OR WA,1060,14.09
10031,OBEREG,9,Outlying areas AS FM GU MH MP PR PW VI,164,2.18
10076,OPEFLAG,1,Participates in Title IV federal financial aid programs,6799,90.4
10076,OPEFLAG,2,Branch campus of a main campus that participates in Title IV,91,1.21
10076,OPEFLAG,3,Deferment only - limited participation,24,0.32
10076,OPEFLAG,5,"Not currently participating in Title IV, has an OPE ID number",555,7.38
10076,OPEFLAG,6,"Not currently participating in Title IV, does not have OPE ID number",31,0.41
10076,OPEFLAG,7,Stopped participating during the survey year,21,0.28
10086,SECTOR,0,Administrative Unit,76,1.01
10086,SECTOR,1,"Public, 4-year or above",759,10.09
10086,SECTOR,2,"Private not-for-profit, 4-year or above",1705,22.67
10086,SECTOR,3,"Private for-profit, 4-year or above",713,9.48
10086,SECTOR,4,"Public, 2-year",995,13.23
10086,SECTOR,5,"Private not-for-profit, 2-year",186,2.47
10086,SECTOR,6,"Private for-profit, 2-year",935,12.43
10086,SECTOR,7,"Public, less-than 2-year",254,3.38
10086,SECTOR,8,"Private not-for-profit, less-than 2-year",93,1.24
10086,SECTOR,9,"Private for-profit, less-than 2-year",1741,23.15
10086,SECTOR,99,Sector unknown (not active),64,0.85
10091,ICLEVEL,1,Four or more years,3226,42.89
10091,ICLEVEL,2,At least 2 but less than 4 years,2141,28.47
10091,ICLEVEL,3,Less than 2 years (below associate),2090,27.79
10091,ICLEVEL,-3,{Not available},64,0.85
10096,CONTROL,1,Public,2073,27.56
10096,CONTROL,2,Private not-for-profit,1988,26.43
10096,CONTROL,3,Private for-profit,3396,45.15
10096,CONTROL,-3,{Not available},64,0.85
10101,HLOFFER,1,Award of less than one academic year,196,2.61
10101,HLOFFER,2,"At least 1, but less than 2 academic yrs",1894,25.18
10101,HLOFFER,3,Associate's degree,1409,18.73
10101,HLOFFER,4,"At least 2, but less than 4 academic yrs",732,9.73
